Species,ModType,Submodel,Param,Estimate,SE
Glaucomys sabrinus,10-day SOM,Detection,Log dist. to road,-0.7583402861158526,0.3079486412773482
Glaucomys sabrinus,10-day SOM,Occupancy,Intercept,-2.4356221860122877,0.27177622596020157
Glaucomys sabrinus,10-day SOM,Occupancy,Max temp.,-0.8350117519587179,0.3030002794843847
Glaucomys sabrinus,10-day SOM,Occupancy,Pct. forest cover,-0.9127027038932038,0.25243499598462416
Glaucomys sabrinus,Clustered,Detection,Intercept,-0.7303400522189143,0.26345124135357706
Glaucomys sabrinus,Clustered,Detection,Canopy height,0.8571615582481713,0.31811314408459795
Glaucomys sabrinus,Clustered,Detection,Log dist. to road,-1.7705036253863993,0.3600195750444317
Glaucomys sabrinus,Clustered,Occupancy,Intercept,-2.2362233706947303,0.2508553119751317
Glaucomys sabrinus,Clustered,Occupancy,Max temp.,-0.7430563781340899,0.27508752714849327
Glaucomys sabrinus,Clustered,Occupancy,Pct. forest cover,-0.908467113689892,0.24266877631126815
Glaucomys sabrinus,Clustered,Site use,Theta,-2.477044577120878,0.2444318968975648
Glaucomys sabrinus,Clustered,Site use,Theta Prime,1.5387712265636575,0.3483127898456721
Lepus americanus,1-day SOM,Detection,Intercept,-3.342107493169032,0.2443730473956801
Lepus americanus,1-day SOM,Detection,Canopy height,0.3442269606856667,0.16432264818178896
Lepus americanus,1-day SOM,Detection,Log dist. to road,1.0515026777232468,0.22009514982361733
Lepus americanus,1-day SOM,Occupancy,Intercept,-2.6180900300088372,0.3246400073678755
Lepus americanus,1-day SOM,Occupancy,Max temp.,-0.9418590252817204,0.345459405050485
Lepus americanus,1-day SOM,Occupancy,Pct. forest cover,0.03629123749259586,0.23358632819353395
Lepus americanus,10-day SOM,Detection,Intercept,-1.675688665397683,0.35782072973999457
Lepus americanus,10-day SOM,Detection,Canopy height,-0.3652354200238884,0.30923890162915274
Lepus americanus,10-day SOM,Detection,Log dist. to road,0.7676924909468268,0.2939318969505136
Lepus americanus,10-day SOM,Occupancy,Intercept,-2.172382907338294,0.3808625710891594
Lepus americanus,10-day SOM,Occupancy,Max temp.,-0.9531629386902212,0.3820914661709468
Lepus americanus,10-day SOM,Occupancy,Pct. forest cover,0.15198570632191646,0.24588953292787935
Lepus americanus,Clustered,Detection,Intercept,-2.2159329764187707,0.2509779573197692
Lepus americanus,Clustered,Detection,Canopy height,0.9836533113057112,0.2802575057524187
Lepus americanus,Clustered,Detection,Log dist. to road,1.136970459763716,0.2280891384561392
Lepus americanus,Clustered,Occupancy,Intercept,1.345098370765352,5.875075544687011
Lepus americanus,Clustered,Occupancy,Max temp.,-64.03991263905063,102.57580114303792
Lepus americanus,Clustered,Occupancy,Pct. forest cover,22.757528815526623,37.70026790796763
Lepus americanus,Clustered,Site use,Theta,-6.414570850635944,0.299174223347932
Lepus americanus,Clustered,Site use,Theta Prime,3.7316371283471264,0.3345333353986346
Lepus californicus,1-day SOM,Detection,Intercept,-3.3453379977593127,0.8691087230432806
Lepus californicus,1-day SOM,Detection,Canopy height,-2.226594807393316,0.9724235073654592
Lepus californicus,1-day SOM,Detection,Log dist. to road,-0.43809413607256514,0.12881178161958234
Lepus californicus,1-day SOM,Occupancy,Intercept,-3.708334943540564,0.6930379895592946
Lepus californicus,1-day SOM,Occupancy,Max temp.,1.6073287124248468,0.4582507457440744
Lepus californicus,1-day SOM,Occupancy,Pct. forest cover,-1.1638855855242878,0.6112029971709829
Lepus californicus,10-day SOM,Detection,Intercept,-0.6245047123984432,1.060292096485767
Lepus californicus,10-day SOM,Detection,Canopy height,-1.9600463471031009,1.150837846504129
Lepus californicus,10-day SOM,Detection,Log dist. to road,-0.6893849422349512,0.5397700780950719
Lepus californicus,10-day SOM,Occupancy,Intercept,-3.6567569232221655,0.709866626655516
Lepus californicus,10-day SOM,Occupancy,Max temp.,1.532775377035214,0.4543559073598337
Lepus californicus,10-day SOM,Occupancy,Pct. forest cover,-1.1774411305050068,0.6281079855296842
Lepus californicus,Clustered,Detection,Intercept,-2.403428431761295,0.8928297472772392
Lepus californicus,Clustered,Detection,Canopy height,-2.394170335658099,0.9890112871688772
Lepus californicus,Clustered,Detection,Log dist. to road,-1.0761153334658031,0.27015290754094934
Lepus californicus,Clustered,Occupancy,Intercept,-3.667397409741579,0.6840933950023332
Lepus californicus,Clustered,Occupancy,Max temp.,1.6085902551018656,0.4571490270446803
Lepus californicus,Clustered,Occupancy,Pct. forest cover,-1.1992529275979158,0.6141882910227091
Lepus californicus,Clustered,Site use,Theta,-2.0805841390186406,0.28626876370606286
Lepus californicus,Clustered,Site use,Theta Prime,2.1223737300712706,0.4239664708906542
Lynx rufus,1-day SOM,Detection,Intercept,-3.4373575459491854,0.0764043998858354
Lynx rufus,1-day SOM,Detection,Canopy height,-0.06583767305939671,0.07358424881308952
Lynx rufus,1-day SOM,Detection,Log dist. to road,-0.00730314103720684,0.09207849765140816
Lynx rufus,1-day SOM,Occupancy,Intercept,-1.1886637093336128,0.10685419443943568
Lynx rufus,1-day SOM,Occupancy,Max temp.,0.16924797388865598,0.10383653474424662
Lynx rufus,1-day SOM,Occupancy,Pct. forest cover,0.1658790980994404,0.10451732673697424
